#Version: 1.0
#Fields: MachineName,Image,MachineFunction,ScaleUnit,RequestedSku
BN4SCH101110906,retail.amd64,TELWebSvc,1,WCS-HP15-i22f
BN4SCH101110909,retail.amd64,TELWebSvc,1,WCS-HP15-i22f
BN4SCH101110911,retail.amd64,TELWebSvc,1,WCS-HP15-i22f
BN4SCH101110913,retail.amd64,TELWebSvc,1,WCS-HP15-i22f
BN4SCH101110914,retail.amd64,TELWebSvc,2,WCS-HP15-i22f
BN4SCH101110915,retail.amd64,TELWebSvc,2,WCS-HP15-i22f
BN4SCH101111006,retail.amd64,TELWebSvc,2,WCS-HP15-i22f
BN4SCH101111014,retail.amd64,TELWebSvc,2,WCS-HP15-i22f
BN4SCH101111015,retail.amd64,TELWebSvc,3,WCS-HP15-i22f
BN4SCH101111017,retail.amd64,TELWebSvc,3,WCS-HP15-i22f
BN4SCH101111018,retail.amd64,TELWebSvc,3,WCS-HP15-i22f
BN4SCH101111103,retail.amd64,TELWebSvc,3,WCS-HP15-i22f
BN4SCH101111106,retail.amd64,ARSWebSvc,1,WCS-HP15-i22f
BN4SCH101111108,retail.amd64,ARSWebSvc,1,WCS-HP15-i22f
BN4SCH101111113,retail.amd64,ARSWebSvc,2,WCS-HP15-i22f
BN4SCH101111115,retail.amd64,ARSWebSvc,2,WCS-HP15-i22f
BN4SCH101111116,retail.amd64,ARSWebSvc,3,WCS-HP15-i22f
BN4SCH101111205,retail.amd64,ARSWebSvc,3,WCS-HP15-i22f
BN4SCH101111210,retail.amd64,FBSWebSite,1,WCS-HP15-i22f
BN4SCH101111214,retail.amd64,FBSWebSite,1,WCS-HP15-i22f
BN4SCH101111216,retail.amd64,FBSWebSite,2,WCS-HP15-i22f
BN4SCH101111221,retail.amd64,FBSWebSite,2,WCS-HP15-i22f
BN4SCH102030109,retail.amd64,ARSWebSvcExp1FT,1,WCS-Quanta15-i22f
BN4SCH102030110,retail.amd64,ARSWebSvcExp1FT,2,WCS-Quanta15-i22f
BN4SCH102030114,retail.amd64,ARSWebSvcExp1NT,1,WCS-Quanta15-i22f
BN4SCH102030116,retail.amd64,ARSWebSvcExp1NT,2,WCS-Quanta15-i22f
BN4SCH102030212,retail.amd64,ARSWebSvcExp2FT,1,WCS-Quanta15-i22f
BN4SCH102030214,retail.amd64,ARSWebSvcExp2FT,2,WCS-Quanta15-i22f
BN4SCH102030215,retail.amd64,ARSWebSvcExp2NT,1,WCS-Quanta15-i22f
BN4SCH102030216,retail.amd64,ARSWebSvcExp1NT,2,WCS-Quanta15-i22f
BN4SCH102030217,retail.amd64,ARSWebSvcTrial0,1,WCS-Quanta15-i22f
BN4SCH102030219,retail.amd64,ARSWebSvcTrial0,2,WCS-Quanta15-i22f
BN4SCH102030307,retail.amd64,ARSWebSvcTrial1,1,WCS-Quanta15-i22f
BN4SCH102030309,retail.amd64,ARSWebSvcTrial1,2,WCS-Quanta15-i22f
BN4SCH102030310,retail.amd64,FBSWebSiteTrial0,1,WCS-Quanta15-i22f
BN4SCH102030319,retail.amd64,FBSWebSiteTrial0,2,WCS-Quanta15-i22f
BN4SCH102030321,retail.amd64,FBSWebSiteTrial1,1,WCS-Quanta15-i22f
BN4SCH102030322,retail.amd64,FBSWebSiteTrial1,2,WCS-Quanta15-i22f
BN4SCH102030408,retail.amd64,SmrtTrial0,1,WCS-Quanta15-i22f
BN4SCH102030409,retail.amd64,SmrtTrial0,2,WCS-Quanta15-i22f
BN4SCH102030410,retail.amd64,SmrtTrial1,1,WCS-Quanta15-i22f
BN4SCH102030412,retail.amd64,TELWebSvcExp1FT,1,WCS-Quanta15-i22f
BN4SCH102030415,retail.amd64,TELWebSvcExp1FT,2,WCS-Quanta15-i22f
BN4SCH102030507,retail.amd64,TELWebSvcTrial0,1,WCS-Quanta15-i22f
BN4SCH102030508,retail.amd64,TELWebSvcTrial0,2,WCS-Quanta15-i22f
BN4SCH102030509,retail.amd64,TELWebSvcTrial1,1,WCS-Quanta15-i22f
BN4SCH102030510,retail.amd64,TELWebSvcTrial1,2,WCS-Quanta15-i22f
BN4SCH102030512,retail.amd64,URSWebSvcExp1FT,2,WCS-Quanta15-i22f
BN4SCH102030605,retail.amd64,SmrtExp1FT,1,WCS-Quanta15-i22f
BN4SCH102030607,retail.amd64,SmrtExp1FT,1,WCS-Quanta15-i22f
BN4SCH102030608,retail.amd64,URSWebSvcTrial0,1,WCS-Quanta15-i22f
BN4SCH102030610,retail.amd64,URSWebSvcTrial0,2,WCS-Quanta15-i22f
BN4SCH102030611,retail.amd64,URSWebSvcTrial1,1,WCS-Quanta15-i22f
BN4SCH102030615,retail.amd64,URSWebSvcTrial1,2,WCS-Quanta15-i22f
BN4SCH102092518,retail.amd64,SmrtSafe,1,WCS-Quanta15-i22f
BN4SCH102092606,retail.amd64,SmrtSafe,2,WCS-Quanta15-i22f
BN4SCH102092713,retail.amd64,SmrtPrxy0,1,WCS-Quanta15-i22f
BN4SCH102092911,retail.amd64,URSWebSvcExp1NT,2,WCS-Quanta15-i22f
BN4SCH102093003,retail.amd64,URSWebSvcExp1NT,1,WCS-Quanta15-i22f
BN4SCH102093008,retail.amd64,URSWebSvcExp1FT,1,WCS-Quanta15-i22f
BN4SCH102093010,retail.amd64,SmrtTrial1,2,WCS-Quanta15-i22f
BN4SCH102093011,retail.amd64,SmrtSafe,1,WCS-Quanta15-i22f
BN4SCH102093012,retail.amd64,SmrtSafe,1,WCS-Quanta15-i22f
BN4SCH102093013,retail.amd64,SmrtSafe,2,WCS-Quanta15-i22f
BN4SCH102093014,retail.amd64,SmrtSafe,2,WCS-Quanta15-i22f
